"symbol","date","price"
"EXPMX",1985 Jan,1135.4
"EXPMX",1985 Feb,1117.1
"EXPMX",1985 Mar,1260.9
"EXPMX",1985 Apr,1236.7
"EXPMX",1985 May,863.3
"EXPMX",1985 Jun,1377.3
"EXPMX",1985 Jul,820.3
"EXPMX",1985 Aug,1405.7
"EXPMX",1985 Sep,1015.7
"EXPMX",1985 Oct,1170.8
"EXPMX",1985 Nov,1214.1
"EXPMX",1985 Dec,1017.4
"EXPMX",1986 Jan,1023.2
"EXPMX",1986 Feb,1064.8
"EXPMX",1986 Mar,1029.4
"EXPMX",1986 Apr,1100.9
"EXPMX",1986 May,1121
"EXPMX",1986 Jun,1060.7
"EXPMX",1986 Jul,1039.1
"EXPMX",1986 Aug,1009.6
"EXPMX",1986 Sep,964.9
"EXPMX",1986 Oct,1087.1
"EXPMX",1986 Nov,945.8
"EXPMX",1986 Dec,945.2
"EXPMX",1987 Jan,1016.7
"EXPMX",1987 Feb,1030.9
"EXPMX",1987 Mar,1276.8
"EXPMX",1987 Apr,1120.9
"EXPMX",1987 May,1192.5
"EXPMX",1987 Jun,1243.6
"EXPMX",1987 Jul,1225.5
"EXPMX",1987 Aug,1192.8
"EXPMX",1987 Sep,1327.7
"EXPMX",1987 Oct,1258.2
"EXPMX",1987 Nov,1414.6
"EXPMX",1987 Dec,1282.1
"EXPMX",1988 Jan,1286
"EXPMX",1988 Feb,1382.8
"EXPMX",1988 Mar,1667.6
"EXPMX",1988 Apr,1540.4
"EXPMX",1988 May,1852.5
"EXPMX",1988 Jun,1593.7
"EXPMX",1988 Jul,1621.1
"EXPMX",1988 Aug,1828.5
"EXPMX",1988 Sep,1936.1
"EXPMX",1988 Oct,2047.4
"EXPMX",1988 Nov,1954.5
"EXPMX",1988 Dec,1917.9
"EXPMX",1989 Jan,1901.1
"EXPMX",1989 Feb,2029.3
"EXPMX",1989 Mar,2180.8
"EXPMX",1989 Apr,2044.4
"EXPMX",1989 May,2096.6
"EXPMX",1989 Jun,2151
"EXPMX",1989 Jul,2061.2
"EXPMX",1989 Aug,2148.1
"EXPMX",1989 Sep,1956.5
"EXPMX",1989 Oct,2351.7
"EXPMX",1989 Nov,2004.1
"EXPMX",1989 Dec,2057.2
"EXPMX",1990 Jan,2131.3
"EXPMX",1990 Feb,2063.2
"EXPMX",1990 Mar,2295.1
"EXPMX",1990 Apr,2047.8
"EXPMX",1990 May,2483.6
"EXPMX",1990 Jun,2532.4
"EXPMX",1990 Jul,2339.9
"EXPMX",1990 Aug,2499.4
"EXPMX",1990 Sep,2384.3
"EXPMX",1990 Oct,2903.4
"EXPMX",1990 Nov,2485.7
"EXPMX",1990 Dec,2112.9
"EXPMX",1991 Jan,2395.1
"EXPMX",1991 Feb,2364.2
"EXPMX",1991 Mar,2353
"EXPMX",1991 Apr,2758.8
"EXPMX",1991 May,2838
"EXPMX",1991 Jun,2860.9
"EXPMX",1991 Jul,2929
"EXPMX",1991 Aug,2849.1
"EXPMX",1991 Sep,2740.2
"EXPMX",1991 Oct,3225.4
"EXPMX",1991 Nov,3042.7
"EXPMX",1991 Dec,2920.8
"EXPMX",1992 Jan,3060.6
"EXPMX",1992 Feb,3201.1
"EXPMX",1992 Mar,3527.8
"EXPMX",1992 Apr,3514.1
"EXPMX",1992 May,3404.8
"EXPMX",1992 Jun,3472.4
"EXPMX",1992 Jul,3522.6
"EXPMX",1992 Aug,3149.7
"EXPMX",1992 Sep,3532.1
"EXPMX",1992 Oct,3437.2
"EXPMX",1992 Nov,3400.9
"EXPMX",1992 Dec,3369
"EXPMX",1993 Jan,3192.5
"EXPMX",1993 Feb,3288.5
"EXPMX",1993 Mar,3754.8
"EXPMX",1993 Apr,3613.6
"EXPMX",1993 May,3503.9
"EXPMX",1993 Jun,3648.2
"EXPMX",1993 Jul,3180
"EXPMX",1993 Aug,3253.6
"EXPMX",1993 Sep,3392
"EXPMX",1993 Oct,3346.2
"EXPMX",1993 Nov,3956.3
"EXPMX",1993 Dec,3451.2
"EXPMX",1994 Jan,3799
"EXPMX",1994 Feb,3682.1
"EXPMX",1994 Mar,4378.2
"EXPMX",1994 Apr,3822.3
"EXPMX",1994 May,4380.9
"EXPMX",1994 Jun,4416.9
"EXPMX",1994 Jul,4207
"EXPMX",1994 Aug,4455.1
"EXPMX",1994 Sep,4381.2
"EXPMX",1994 Oct,4499.7
"EXPMX",1994 Nov,4557.1
"EXPMX",1994 Dec,4264
"EXPMX",1995 Jan,4001.2
"EXPMX",1995 Feb,3672.4
"EXPMX",1995 Mar,3920.6
"EXPMX",1995 Apr,3382.5
"EXPMX",1995 May,3781.2
"EXPMX",1995 Jun,3704
"EXPMX",1995 Jul,3466
"EXPMX",1995 Aug,4186.9
"EXPMX",1995 Sep,4062.3
"EXPMX",1995 Oct,4312.5
"EXPMX",1995 Nov,3967.8
"EXPMX",1995 Dec,3834.7
"EXPMX",1996 Jan,4276.4
"EXPMX",1996 Feb,4264.7
"EXPMX",1996 Mar,4459.3
"EXPMX",1996 Apr,4358.7
"EXPMX",1996 May,4740.4
"EXPMX",1996 Jun,4560.4
"EXPMX",1996 Jul,4567.1
"EXPMX",1996 Aug,4830.1
"EXPMX",1996 Sep,4950
"EXPMX",1996 Oct,5627.2
"EXPMX",1996 Nov,5116
"EXPMX",1996 Dec,5041.3
"EXPMX",1997 Jan,4917.4
"EXPMX",1997 Feb,5329.9
"EXPMX",1997 Mar,5424.5
"EXPMX",1997 Apr,5720.8
"EXPMX",1997 May,5419.7
"EXPMX",1997 Jun,5912.8
"EXPMX",1997 Jul,5984.3
"EXPMX",1997 Aug,6271.1
"EXPMX",1997 Sep,6325.8
"EXPMX",1997 Oct,7165.2
"EXPMX",1997 Nov,6618.3
"EXPMX",1997 Dec,6298.7
"EXPMX",1998 Jan,6234.2
"EXPMX",1998 Feb,6421.1
"EXPMX",1998 Mar,6911.4
"EXPMX",1998 Apr,6396.2
"EXPMX",1998 May,6408.3
"EXPMX",1998 Jun,6448.7
"EXPMX",1998 Jul,6141.9
"EXPMX",1998 Aug,6181.3
"EXPMX",1998 Sep,6896.1
"EXPMX",1998 Oct,7268.8
"EXPMX",1998 Nov,6979.1
"EXPMX",1998 Dec,6485.5
"EXPMX",1999 Jan,6021.1
"EXPMX",1999 Feb,6016.6
"EXPMX",1999 Mar,6909.7
"EXPMX",1999 Apr,6648
"EXPMX",1999 May,6658.5
"EXPMX",1999 Jun,7069.1
"EXPMX",1999 Jul,7120.5
"EXPMX",1999 Aug,7474.7
"EXPMX",1999 Sep,7805.2
"EXPMX",1999 Oct,8460.9
"EXPMX",1999 Nov,8201.8
"EXPMX",1999 Dec,8522.8
"EXPMX",2000 Jan,7964.5
"EXPMX",2000 Feb,8464.3
"EXPMX",2000 Mar,9641.1
"EXPMX",2000 Apr,9043.5
